code,display,system,include_type,valueset_url,valueset_name
00,NEONATAL HEARING HIGH RISK 1ST SCREENING AOE,http://fhir.hie.moh.gov.my/CodeSystem/audiology-neonatal-hearing-screening-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-neonatal-hearing-screening-my-core,ValueSetAudiologyNeonatalHearingScreeningMyCore
01,NEONATAL HEARING HIGH RISK 1ST SCREENING AABR,http://fhir.hie.moh.gov.my/CodeSystem/audiology-neonatal-hearing-screening-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-neonatal-hearing-screening-my-core,ValueSetAudiologyNeonatalHearingScreeningMyCore
02,NEONATAL HEARING NON- HIGH RISK 1ST SCREENING AOE,http://fhir.hie.moh.gov.my/CodeSystem/audiology-neonatal-hearing-screening-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-neonatal-hearing-screening-my-core,ValueSetAudiologyNeonatalHearingScreeningMyCore
03,NEONATAL HEARING NON- HIGH RISK 1ST SCREENING AABR,http://fhir.hie.moh.gov.my/CodeSystem/audiology-neonatal-hearing-screening-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-neonatal-hearing-screening-my-core,ValueSetAudiologyNeonatalHearingScreeningMyCore
04,DIAGNOSTIC ASSESSMENT ABR,http://fhir.hie.moh.gov.my/CodeSystem/audiology-neonatal-hearing-screening-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-neonatal-hearing-screening-my-core,ValueSetAudiologyNeonatalHearingScreeningMyCore
05,DIAGNOSTIC ASSESSMENT ASSR,http://fhir.hie.moh.gov.my/CodeSystem/audiology-neonatal-hearing-screening-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-neonatal-hearing-screening-my-core,ValueSetAudiologyNeonatalHearingScreeningMyCore
06,DIAGNOSTIC ASSESSMENT OTHERS,http://fhir.hie.moh.gov.my/CodeSystem/audiology-neonatal-hearing-screening-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-neonatal-hearing-screening-my-core,ValueSetAudiologyNeonatalHearingScreeningMyCore
