code,display,definition,system_url,system_name
HO,House Officer,House Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
ITO,IT Officer,IT Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
ITP,IT Programmer,IT Programmer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
ITT,IT Technician,IT Technician,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
VW9ER47J1B,Medical Army,Medical Army,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
MLT,Medical Lab Technologist,Medical Lab Technologist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
MO,Medical Officer,Medical Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
MSW,Medical Social Worker,Medical Social Worker,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
NRS,Nurse,Nurse,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
NTR,Nutritionist,Nutritionist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
OT,Occupational Therapist,Occupational Therapist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
MUQUG160J8,Optometrist,Optometrist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
OMFS,Oral Maxillo Facial Specialist,Oral Maxillo Facial Specialist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
ORTHO,Orthodontist,Orthodontist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
PAEDO,Paediatric Dentistry,Paediatric Dentistry,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
WFFAKB4GYV,Part Time Worker (PSH),Part Time Worker (PSH),http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
EX98C1G9RS,Pegawai Khidmat Pelanggan,Pegawai Khidmat Pelanggan,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
PO,Pembantu Operasi,Pembantu Operasi,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
PERIO,Periodontist,Periodontist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
PHRO,Pharmacy Officer,Pharmacy Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
PSC,Physiotherapist,Physiotherapist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
PSDT,Post Basic Dental Therapist,Post Basic Dental Therapist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
FTEQASKWHS,Principal Dental Therapist,Principal Dental Therapist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
TDT,Trainee Dental Technologist,Trainee Dental Technologist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
superadmin,Vendor,Vendor,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
VSp,Visiting Specialist,Visiting Specialist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
jknadmin,JKN Admin,JKN Admin,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
