artefact_name,artefact_type,source_archive,source_path,external_standard_dependency,local_or_external,status,notes
ValueSetCompositionCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Composition\ValueSet-composition-category-my-core.json; ValueSets/value-set-composition-category-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetCompositionClassMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Composition\ValueSet-composition-class-my-core.json; ValueSets/value-set-composition-class-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetCompositionEventMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Composition\ValueSet-composition-event-my-core.json; ValueSets/value-set-composition-event-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetCompositionFormTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Composition\ValueSet-composition-form-type-my-core.json; ValueSets/composition-form-type-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetCompositionSectionMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Composition\ValueSet-composition-section-my-core.json; ValueSets/value-set-composition-section-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetCompositionTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Composition\ValueSet-composition-type-my-core.json; ValueSets/value-set-composition-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetConditionCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Condition\ValueSet-condition-category-my-core.json; ValueSets/value-set-condition-category-my-core.csv,HL7 Terminology,mixed,active,Verified against terminology extract.
ValueSetCookingDemonstationMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Procedure\ValueSet-cooking-demonstration-my-core.json; ValueSets/value-set-cooking-demonstration-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDataTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-data-type-my-core.json; ValueSets/value-set-data-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDeathCertificateMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-death-certificate-my-core.json; ValueSets/value-death-certificate-my-core.csv,None,local,active,Verified against terminology extract.
