artefact_name,artefact_type,source_archive,source_path,external_standard_dependency,local_or_external,status,notes
ValueSetObservationVSCTMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-vsc-t-my-core.json; ValueSets/value-set-observation-vsc-t-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetOccupationSectorMyCore,ValueSet,MY Core IG.zip,generated\\ValueSet-occupation-sector-my-core.json,None,local,active,Legacy JSON only.
ValueSetOrganizationCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Organization\ValueSet-organization-category-my-core.json; ValueSets/value-set-organization-category-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetOrganizationCategoryPublicMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-organization-category-public-my-core.json; ValueSets/value-set-organization-category-public-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetOrganizationTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Organization\ValueSet-organization-type-my-core.json; ValueSets/value-set-organization-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetPaymentType_MyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-payment-type-my-core.json; ValueSets/value-set-payment-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetPersonTitleMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-person-title-my-core.json; ValueSets/value-set-person-title-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetPhisFrequencyMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-phis-frequency-my-core.json; ValueSets/value-set-phis-frequency-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetPhisRouteMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-phis-route-my-core.json; ValueSets/value-set-phis-route-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetPhisUomMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-phis-uom-my-core.json; ValueSets/value-set-phis-uom-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetPhlebotomyMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-phlebotomy-my-core.json; ValueSets/value-set-phlebotomy-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetPractitionerRoleMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-practitioner-role-code-my-core.json; ValueSets/value-set-practitioner-role-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetPriorityMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-encounter-priority-my-core.json; ValueSets/value-set-priority-my-core.csv,HL7 Core,mixed,active,Verified against terminology extract.
ValueSetProcedureCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Procedure\ValueSet-procedure-category-my-core.json; ValueSets/value-set-procedure-category-my-core.csv,SNOMED CT,mixed,active,Verified against terminology extract.
ValueSetProcedureComplicationMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Procedure\ValueSet-procedure-complication-my-core.json; ValueSets/value-set-procedure-complication-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetProcedurePerformerRole,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Procedure\ValueSet-procedure-performer-role-my-core.json; ValueSets/value-set-procedure-performer-role-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetProcedureSessionTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Procedure\ValueSet-procedure-session-type-my-core.json; ValueSets/value-set-procedure-Session Type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetReasonCodeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-reason-code-my-core.json; ValueSets/value-set-reason-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetReferralFormMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Healthcare services\ValueSet-referral-form-my-core.json; ValueSets/value-set-referral-form-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetRelatedPersonRelationshipMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-relatedperson-relationship-my-core.json; ValueSets/value-set-relatedperson-relationship-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetRelationshipMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-relationship-my-core.json; ValueSets/value-set-relationship-my-core.csv,HL7 Terminology,mixed,active,Verified against terminology extract.
ValueSetReligionMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-religion-my-core.json; ValueSets/value-set-religion-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetRevenueCodeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-revenue-code-my-core.json; ValueSets/value-set-revenue-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetScheduleTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Schedule & Appoinment\ValueSet-schedule-type-my-core.json; ValueSets/value-set-schedule-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetServiceRequestCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Healthcare services\ValueSet-servicerequest-category-my-core.json; ValueSets/value-set-servicerequest-category-my-core.csv,SNOMED CT,mixed,active,Verified against terminology extract.
ValueSetServiceTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Healthcare services\Valueset-service-type-my-core.json; ValueSets/value-set-service-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetSideMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Imaging\ValueSet-side-my-core.json; ValueSets/value-set-side-my-core.csv,SNOMED CT,mixed,active,Verified against terminology extract.
ValueSetSiteMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Imaging\ValueSet-site-my-core.json; ValueSets/value-set-site-my-core.csv,SNOMED CT,mixed,active,Verified against terminology extract.
ValueSetSourceSystemMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-source-system-my-core.json; ValueSets/value-set-source-system-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetSpecialtyMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Healthcare services\ValueSet-specialty-my-core.json; ValueSets/value-set-specialty-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetSpecimenContainerTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Lab\ValueSet-specimen-container-type-my-core.json; ValueSets/value-set-specimen-container-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetSpecimenTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Lab\ValueSet-specimen-type-my-core.json; ValueSets/value-set-specimen-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetStateMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-state-my-core.json; ValueSets/value-set-state-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetSubRecordTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Composition\ValueSet-sub-record-type-my-core.json; ValueSets/value-set-sub-record-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetSurfaceCodeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Dental\ValueSet-surface-code-my-core.json; ValueSets/value-set-surface-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetSurfaceMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Dental\ValueSet-surface-my-core.json; ValueSets/value-set-surface-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetTaskBusinessStatusMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Service Request & Task\ValueSet-task-business-status-my-core.json; ValueSets/value-set-task-business-status-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetTaskCodeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Service Request & Task\ValueSet-task-code-my-core.json; ValueSets/value-set-task-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetTaskInputTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Service Request & Task\ValueSet-task-input-type-my-core.json; ValueSets/value-set-task-input-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetTaskOutputTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Service Request & Task\ValueSet-task-output-type-my-core.json; ValueSets/value-set-task-output-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetTdmRecommendedTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Lab\ValueSet-tdm-recommended-type-my-core.json; ValueSets/value-set-tdm-recommended-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetTdmSampleTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Lab\ValueSet-tdm-sample-type-my-core.json; ValueSets/value-set-tdm-sample-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetTreatmentProcedureMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-treatment-procedure-my-core.json; ValueSets/value-set-treatment-procedure-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetVaccineChildCodeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Immunization\ValueSet-vaccine-child-code-my-core.json; ValueSets/value-set-vaccine-child-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetVaccineCodeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Immunization\ValueSet-vaccine-code-my-core.json; ValueSets/value-set-vaccine-code-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetVisitTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-visit-type-my-core.json; ValueSets/value-set-visit-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetWardCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Location\ValueSet-ward-category-my-core.json; ValueSets/value-set-ward-category-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetWardClassMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Location\ValueSet-ward-class-my-core.json; ValueSets/value-set-ward-class-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetWardSpecialtyMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Location\ValueSet-ward-specialty-my-core.json; ValueSets/value-set-ward-specialty-my-core.csv,None,local,active,Verified against terminology extract.
